company,excel_present_in,website,excel_guess,review_verdict,usable_as,confidence,own_research_summary,action
"84 Lumber","(4)",https://www.84lumber.com/,"carrier lead",no,shipper,high,"Official delivery page confirms dedicated fleet and jobsite delivery, but this is a building-material shipper/distributor, not a for-hire carrier",move_to_shipper_pipeline
"ABC Supply Co.","(4)",https://www.abcsupply.com/,"carrier lead",no,shipper,high,"Official pages confirm trucks with conveyors, cranes, piggybacks and jobsite forklifts, but ABC is a shipper/distributor, not a carrier for hire",move_to_shipper_pipeline
Border States,"(2),(4)",https://borderstates.com/,"carrier lead",no,false_positive,high,"Excel matched the word 'Moffett' from the Alabama street name 'Moffett Rd'; no Florida self-unload carrier signal was confirmed",discard_from_carrier_list
"Decks & Docks Lumber Co.","(4)",https://www.decks-docks.com/,"carrier lead",no,shipper,medium,"Florida branch network and contractor delivery model make it a shipper prospect, not a for-hire carrier",move_to_shipper_pipeline
Fello Logistics,"(2),(4)",https://fellologistics.com/,"carrier lead",no,broker_or_3pl_not_direct_carrier,high,"Official site markets shipper services, carrier login and logistics offerings including Moffett services, but this reads as brokerage/3PL positioning rather than owned Florida carrier capacity",exclude_from_core_carrier_list
Florida Flatbed Trucking,"(2),(4)",https://floridaflatbedtrucking.com/,"carrier lead",yes,carrier,medium,"Official site explicitly markets flatbed service for residential and commercial deliveries with forklift; company detail is thin so compliance and legal identity still need verification",keep_and_verify_packet
"GMS / Gypsum Management & Supply","(4)",https://www.gms.com/,"carrier lead",no,shipper,high,"Official site confirms large delivery fleet and Florida operations through building-products distribution; this is a shipper prospect, not a carrier",move_to_shipper_pipeline
"HD Supply / White Cap fleets","(4)",https://www.whitecap.com/,"carrier lead",no,maybe_shipper,medium,"Material supplier with jobsite delivery footprint, but less clearly aligned to your niche than building-material and scaffold prospects; not a for-hire carrier",hold_for_secondary_shipper_pass
"Lansing Building Products","(4)",https://lansingbp.com/,"carrier lead",no,shipper_partial,medium,"Building-products distributor with delivery model and Florida footprint signals, but branch-level Florida verification still needs more work",secondary_shipper_research
On Time Transport,"(2),(4)",https://ontimetdr.com/,"carrier lead",yes,carrier,high,"Official site clearly advertises Moffett services across Central Florida and positions itself as a direct carrier",keep_and_verify_packet
OnSite Delivery Tampa,"(2),(4)",https://onsitedeliverytampa.com/,"carrier lead",yes,carrier,high,"Official site clearly confirms truck-mounted forklift fleet and Florida service footprint",keep_as_priority_carrier
S.L.D. Transport,"(2)",https://www.sldtransport.com/,"carrier lead",yes_but_not_florida_based,out_of_state_backup_carrier,medium,"Official site confirms piggyback forklift delivery and fleet assets, but HQ is Georgia rather than Florida",use_only_as_backup
Smart Transport Inc.,"(2)",https://www.smarttransportinc.com/,"carrier lead",yes,carrier,high,"Official site lists flatbed piggyback / Moffett and Miami-area trucking services",keep_and_verify_packet
Stellar X Logistics,"(2)",https://www.stellarxlogistics.com/truck-mounted-forklift/,"carrier lead",yes,carrier,high,"Official site confirms truck-mounted forklift / Moffett-style delivery in South Florida",keep_and_enrich_contacts
Swift Delivery Systems,"(2)",https://www.swiftexp.com/,"carrier lead",no,not_florida,high,"Official site confirms Moffett-equipped flatbeds, but the company is based in Ottawa, Canada and does not belong in a Florida carrier list",exclude_from_florida_list
